id,car_model,car_year,car_vin,color,price
1,Canyon,2012,1GD312CGXEF143911,Puce,"€16730,45"
2,Riviera,1986,1G6DP8E30C0519295,Violet,"€13759,42"
3,G-Class,2002,19XFA1E55AE185267,Aquamarine,"€18407,24"
4,XJ,2012,SAJWA0F74F8637352,Green,"€18598,62"
5,Odyssey,2009,1N6AD0CU7BC053509,Fuscia,"€18369,71"
6,350Z,2009,5UMCN93402L041047,Purple,"€18810,04"
7,Leganza,2002,1N6AF0KX3FN425119,Fuscia,"€10212,73"
8,Aurora,1995,1G6KE54Y25U068018,Blue,"€19622,28"
9,LHS,2001,SAJWA0F72F8789887,Maroon,"€32687,17"
10,TrailBlazer,2009,SAJWA1C7XD8509866,Violet,"€25693,24"
11,Rally Wagon 3500,1993,2FMPK3K97FB974662,Green,"€34692,06"
12,Navigator L,2007,2LMDJ6JK6FB343209,Goldenrod,"€39283,91"
13,Tercel,1994,WAUDF78E58A144008,Blue,"€13895,69"
14,Dakota Club,2000,WBAGH03431D768164,Crimson,"€38277,58"
15,300ZX,1993,1G4GC5GG7AF633790,Turquoise,"€17090,57"
16,Riviera,1997,3D73Y4EL9BG783257,Indigo,"€39444,99"
17,Range Rover,1992,3C4PDCDG8FT669625,Turquoise,"€10178,45"
18,rio,1996,KNAFT4A23D5211546,Indigo,"€17654,86"
19,Express,2012,3C63DPML2CG179793,Turquoise,"€18416,88"
20,Ram Van 1500,1997,WBA5A7C56FD633586,Mauv,"€26579,66"
21,Fox,1989,JN1BJ0HP1EM139516,Mauv,"€29527,97"
22,A4,2005,YV4852CT2A1663472,Crimson,"€18367,64"
23,Dakota Club,2004,JN8AZ1MUXCW300793,Khaki,"€21976,93"
24,Caravan,2003,JM1NC2PF3F0819824,Aquamarine,"€27756,14"
25,Q,1992,1G4GH5G34CF411967,Blue,"€19841,58"
26,525,2005,WAUWG74F19N307686,Goldenrod,"€33440,89"
27,Quattroporte,2011,1N6AA0EC0EN929553,Fuscia,"€19295,82"
28,Rodeo,1994,WVWED7AJ9BW660418,Orange,"€35295,81"
29,Contour,1997,5TFCW5F1XDX128798,Turquoise,"€11817,19"
30,300M,2003,1G4GE5E34CF126682,Orange,"€35534,59"
31,Freelander,2010,WA1EV74L78D480914,Purple,"€21739,02"
32,Alero,1999,JM1NC2JF4F0871794,Yellow,"€19874,06"
33,5 Series,1992,WAUDH94F76N497411,Green,"€15490,60"
34,Civic GX,2003,3FA6P0D98DR516939,Puce,"€37945,09"
35,Ram 3500,2009,3C63D3NL4CG499916,Fuscia,"€18632,99"
36,Taurus,2008,1C6RD6FKXCS122548,Pink,"€23718,82"
37,Crossfire,2004,1FMHK7B87CG611124,Maroon,"€28329,28"
38,GS,1994,JN1AY1APXBM168211,Fuscia,"€14816,83"
39,5 Series,2006,2T1KE4EE2AC883998,Mauv,"€12191,87"
40,Park Avenue,1999,1FTEX1C80AF160111,Yellow,"€13326,30"
41,Allroad,2002,1G4HD57246U270826,Indigo,"€13796,40"
42,Sunfire,2000,WBAEN33494E268767,Orange,"€19915,79"
43,GX,2006,1G6AE5SX7E0129277,Fuscia,"€13025,46"
44,xD,2008,2C3CDYAG1CH250251,Pink,"€32994,88"
45,Z3,2002,3GYFNBEY6AS442940,Indigo,"€34193,32"
46,RSX,2002,1GKS1CE07ER963727,Fuscia,"€25593,38"
47,Prowler,2002,1N6BF0KL5FN048908,Goldenrod,"€30214,78"
48,Sportage,2000,WDDGF4HB7DG448619,Green,"€34546,61"
49,Q,1997,2G4GS5EV5D9069994,Turquoise,"€35085,80"
50,G-Series G10,1992,1C6RD7LP4CS109316,Pink,"€20968,78"
51,Land Cruiser,1995,SALAB2V62EA835616,Green,"€17550,06"
52,Grand Vitara,2009,1GD322CG2EF972307,Aquamarine,"€38184,77"
53,H3,2009,5N1AA0NC3BN971922,Puce,"€20691,57"
54,Intrepid,1995,1GTN1TEX0CZ949526,Fuscia,"€11719,36"
55,Rodeo,2002,WBAYG0C56DD483642,Indigo,"€18314,73"
56,Freestar,2007,1FTSW2A56AE047631,Khaki,"€36510,08"
57,Sierra 1500,2010,WAUPFAFMXAA205959,Teal,"€26602,51"
58,Sedona,2004,5J8TB1H20CA455272,Orange,"€20905,74"
59,Galant,2003,JN8AZ2KR6BT901073,Turquoise,"€16337,18"
60,Ranger,2006,KNAFZ6A34F5424088,Purple,"€18144,60"
61,Rogue,2011,2G4WE537151687837,Yellow,"€36785,27"
62,A5,2010,1GD21XEG8FZ723275,Teal,"€39522,52"
63,Acclaim,1992,JTHBF1D22F5998204,Violet,"€14742,19"
64,Suburban 1500,2004,2C4RDGEG5FR213955,Green,"€13337,40"
65,ES,1999,WAUMV94E19N597394,Red,"€24986,25"
66,Dakota Club,2005,1D4RE4GG6BC120196,Fuscia,"€36840,17"
67,Aurora,2001,WBAVC735X7A635757,Puce,"€30192,14"
68,3000GT,1992,1GYEK63N34R546331,Green,"€29429,90"
69,S-Series,2001,5TDDK3DC9BS251813,Red,"€19320,89"
70,612 Scaglietti,2010,2G61N5S30F9788967,Aquamarine,"€16912,21"
71,Z8,2003,3GYFNJE41AS291593,Pink,"€20804,47"
72,3500,1999,5N1AR1NBXAC330203,Maroon,"€29532,80"
73,Matrix,2012,WAUWGAFC9EN197643,Teal,"€28025,72"
74,Expedition,2003,5J8TB4H52GL892731,Orange,"€31307,75"
75,900,1995,3N1CN7AP4FL247538,Green,"€39008,69"
76,VUE,2003,1FTMF1C84AK533110,Aquamarine,"€16089,12"
77,CR-V,2005,5N1AT2MK3FC577076,Turquoise,"€30509,53"
78,E-Class,2005,1N6AF0LY8EN595952,Mauv,"€13069,98"
79,B-Series,1989,KMHHT6KD7CU632130,Violet,"€31262,07"
80,IS-F,2008,WBA3V9C58FP698428,Crimson,"€33983,46"
81,S5,2010,5UXKR6C54F0688228,Blue,"€29887,21"
82,Mustang,1998,WBAGK93481D126965,Red,"€24748,20"
83,Camaro,2002,1FTMF1EW5AK898391,Green,"€18488,99"
84,525,2001,1G6DF5E53C0981126,Turquoise,"€26317,89"
85,Mazda3,2010,WBAFR7C59DD765574,Goldenrod,"€37547,59"
86,Esprit,1994,3C4PDDDG2FT641423,Yellow,"€38440,07"
87,F150,2010,SCFFDCCDXAG355489,Red,"€21075,93"
88,Seville,1993,2C3CA3CV6AH135486,Crimson,"€11787,82"
89,Samurai,1993,5XYZG3AB7CG663262,Mauv,"€30627,60"
90,XJ Series,2004,WAUDH98E66A891118,Purple,"€21971,30"
91,V8,1992,SCFAD02A97G180435,Orange,"€26201,40"
92,NSX,1997,SALAG2D42CA144570,Pink,"€24244,81"
93,SL-Class,1985,JN8AZ2KRXAT372841,Indigo,"€27776,71"
94,3500,1998,WAUEF78E56A317401,Goldenrod,"€37183,65"
95,Accord,1992,3D7JV1EP2AG319422,Khaki,"€22041,36"
96,Phaeton,2004,WVGAV3AX1DW757085,Mauv,"€37127,87"
97,Suburban 2500,1997,WDDLJ9BB7FA937207,Pink,"€27289,27"
98,Santa Fe,2012,JM1GJ1T68E1675761,Yellow,"€14279,19"
99,Xterra,2007,WBADX7C50CE319383,Green,"€37345,52"
100,88,1993,WBAKA83559C750983,Indigo,"€26554,60"
101,Impala,2000,SCFBF03B57G046009,Mauv,"€30009,08"
102,RL,2007,WBAUP73559V941261,Red,"€13459,69"
103,5 Series,2003,WBAXG5C58CC038915,Blue,"€36434,36"
104,Continental,1990,TRUTC28N841145647,Maroon,"€25482,90"
105,350Z,2007,SALVP2BG3FH330399,Pink,"€12986,69"
106,XJ,2008,WAULT68E15A855487,Red,"€29872,06"
107,Jetta,1999,WA1WKAFPXBA809561,Yellow,"€33633,29"
108,Silverado 1500,2011,KM8JT3AB5BU915124,Orange,"€30961,75"
109,Impreza,2009,1FT7W2A6XEE716696,Aquamarine,"€22186,63"
110,Express 2500,1996,1G6AH5S34F0348302,Maroon,"€16320,76"
111,Grand Cherokee,2006,3D73M3HL6BG888095,Orange,"€18098,11"
112,Rodeo,2004,1G6AR5S34F0342819,Aquamarine,"€16414,71"
113,California,2009,WBAYM9C54ED679500,Pink,"€23915,40"
114,300M,1999,3D7JB1EP8BG342942,Turquoise,"€12410,55"
115,F-Series Super Duty,2009,WBAKE3C5XCE975547,Pink,"€21012,27"
116,MX-5,2006,WBAUL7C59AV384287,Aquamarine,"€22033,45"
117,Land Cruiser,1997,2C3CDZFJ8FH953389,Khaki,"€33661,56"
118,TL,1998,1G6AA5RAXF0559058,Pink,"€12944,10"
119,F350,1995,JA32X8HW1DU509832,Blue,"€37984,07"
