id,car_model,car_year,car_vin,color,price
1,RL,2007,WAUSF98E58A604237,Fuscia,"€10695,38"
2,Passat,2004,SCFAD06D79G092751,Maroon,"€25134,63"
3,Grand Marquis,1997,JN8AS1MU8BM591745,Orange,"€26138,62"
4,Montero,1992,WAUAC68D21A435939,Blue,"€17512,96"
5,Quest,1999,WDDEJ7EB4DA797526,Yellow,"€28207,21"
6,Crossfire,2005,1FTEW1CM7CK495053,Khaki,"€39691,49"
7,300SL,1993,1G6KD57Y91U303619,Green,"€34978,79"
8,Camaro,1992,4JGBB9FB3BA735449,Mauv,"€31433,64"
9,HS,2010,1D7CE2BK1AS776934,Mauv,"€32648,52"
10,Freelander,2009,WBA3A9C52FF004821,Red,"€14272,82"
11,Fiero,1986,2G4GN5EK5C9792806,Crimson,"€38540,07"
12,Freestyle,2005,WBSWD93528P314870,Goldenrod,"€25834,43"
13,Ram Van 2500,1996,JN1AZ4EH6CM400693,Orange,"€31808,77"
14,SJ 410,1984,3FAHP0KCXAR389274,Crimson,"€18670,99"
15,1500,1996,JTHBW1GG6D2045517,Pink,"€33900,70"
16,Colt,1994,5UXFE8C5XAL995144,Fuscia,"€26468,79"
17,Seville,1994,WBAYF4C5XFG604507,Yellow,"€22893,39"
18,Cayenne,2012,JN8AZ2KR3BT730363,Green,"€26969,13"
19,Integra,1997,2C4RDGBG4FR568619,Purple,"€33369,16"
20,Eldorado,1993,JN1AZ4EH1AM547405,Crimson,"€37840,89"
21,80/90,1988,1GD02ZCG4DF425808,Aquamarine,"€15689,40"
22,EV1,1999,WAUFGBFC5EN614620,Indigo,"€20022,81"
23,Forte,2010,5GAKRDED2CJ808707,Maroon,"€25866,42"
24,S2000,2004,5UXKS4C57F0062357,Turquoise,"€35679,57"
25,Continental GT,2010,SCFAD02A48G162541,Purple,"€13830,66"
26,Tiburon,1998,3TMJU4GN0CM115622,Green,"€32049,78"
27,C-Class,2001,1G6DN8EV8A0544112,Maroon,"€33552,17"
28,Savana 1500,2007,1GD12YEGXFF958132,Mauv,"€39790,66"
29,62,2005,1FTDS3EL0AD369478,Turquoise,"€26347,62"
30,Mirage,1986,1N6AA0CCXDN098936,Mauv,"€15213,17"
31,MDX,2010,WBA6B2C58FG404202,Green,"€29434,16"
32,M3,2005,1GYS4FEJ0DR485852,Maroon,"€38074,81"
33,rio,1997,1N4AL2APXBN961770,Aquamarine,"€28108,09"
34,Century,1986,WBAHN83518D964988,Fuscia,"€20054,38"
35,Tahoe,2003,1FTSF3B55AE108486,Violet,"€29945,38"
36,V8 Vantage S,2012,1C4RDJAG6EC347786,Purple,"€23633,60"
37,Sebring,2006,WAUDGBFL4DA110024,Turquoise,"€30790,90"
38,Montana,2000,1GKS2FFJ2BR241311,Purple,"€25040,70"
39,LaCrosse,2007,WA1WKAFP6BA715080,Red,"€16086,95"
40,Sable,1990,WAUDGAFL0BA444302,Yellow,"€14599,66"
41,Cube,2010,WAU3GAFRXEA899467,Red,"€32177,83"
42,Element,2009,3G5DB03EX2S821452,Red,"€19474,67"
43,Crossfire,2006,WAULFAFRXAA318725,Violet,"€29145,54"
44,Stratus,2001,SALFR2BN0BH537033,Maroon,"€27992,95"
45,F-Series,1996,4JGDA2EB6DA614759,Crimson,"€30126,37"
46,Prius Plug-in,2012,2C3CCARG1FH163131,Turquoise,"€26754,06"
47,Prizm,2001,2HNYD2H36DH432783,Crimson,"€20331,70"
48,Express 1500,2011,1GYS3CKJ3FR715067,Goldenrod,"€21591,95"
49,Discovery,2002,WAUHFAFL2DA264679,Pink,"€26630,26"
50,G5,2009,WDDHF2EB3CA157906,Red,"€31848,81"
51,Grand Voyager,2000,WA1CFAFP3FA856511,Goldenrod,"€12178,06"
52,CTS,2007,2C3CDXJG0CH920012,Teal,"€36879,82"
53,S80,2009,JM3TB2MA4A0896964,Violet,"€33287,92"
54,Compass,2012,WAUVC58E94A988502,Turquoise,"€30802,62"
55,LX,2006,3LNDL2L30CR385036,Teal,"€36069,70"
56,Monte Carlo,2000,WAUFGBFC1EN182091,Indigo,"€29562,54"
57,CL-Class,2009,WP0CA2A84AU991756,Indigo,"€36833,59"
58,PT Cruiser,2004,YV1902FHXD2131022,Teal,"€15719,48"
59,Pilot,2002,WBABN53403P214940,Turquoise,"€22482,74"
60,Sierra 3500,2000,5UXFG2C57CL939012,Turquoise,"€34316,24"
61,Rio,2005,3VW4T7AT2DM225482,Khaki,"€23979,43"
62,100,1992,1GYS4SKJXFR636664,Crimson,"€18422,11"
63,GTO,1966,KM8NU4CC5BU721025,Orange,"€27550,20"
64,Safari,1989,ZHWGU5BZ8CL689825,Violet,"€22558,38"
65,Sable,2009,5FNYF3H31FB661824,Red,"€16697,21"
66,Range Rover Sport,2007,WAUSF78K69N419022,Goldenrod,"€11506,97"
67,Acadia,2012,5UXZV4C57DL036522,Red,"€31473,38"
68,SX4,2009,WAUJT64B63N692649,Maroon,"€24465,55"
69,Yukon XL 1500,2000,SCBDC47L99C714109,Aquamarine,"€21973,25"
70,Genesis,2011,JN1CV6EK8DM782612,Purple,"€27776,57"
71,5 Series,2011,WA1BY74L79D565635,Teal,"€38564,30"
72,SLK-Class,2006,WAUXL58E34A849295,Purple,"€23220,77"
73,RX-8,2009,1GYS4BEF5ER202125,Orange,"€34104,49"
74,CL-Class,2004,WBAWC7C59AP301521,Turquoise,"€27574,48"
75,Imperial,1993,1N6AF0LX3FN308106,Teal,"€38786,11"
76,3500,1992,1GYEC63N35R976522,Crimson,"€21564,50"
77,Galant,2012,5N1AR2MM0DC991350,Blue,"€29292,23"
78,M6,2010,JN8AS1MU6CM894413,Red,"€15978,36"
79,Veracruz,2011,WBA3B9G53FN827237,Pink,"€15285,79"
